Ciudad,Comentario,Categoría del problema,Categoria_Numerica,Nuevo Nivel de Urgencia,Fecha del reporte
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 01 05
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 11 05
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 06 17
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 11 26
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 12 18
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 11 30
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 02 18
bogota,queremos mas presencia policial,Seguridad,3,1,2023 11 02
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 04 25
cali,faltan medicos en el centro de salud,Salud,1,3,2024 09 08
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 05 14
manizales,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 05 28
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 09 14
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 02 10
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 10 26
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 03 02
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 03 12
manizales,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 01 09
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 08 11
bucaramanga,falta agua potable en varias casas,Salud,1,1,2023 04 23
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 01 24
bogota,no hay suficientes escuelas publicas,Educación,2,3,2023 01 23
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 09 26
cali,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 03 25
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 05 04
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 05 08
cucuta,falta agua potable en varias casas,Salud,1,1,2023 04 23
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 04 14
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 11 16
santa marta,faltan medicos en el centro de salud,Salud,1,4,2023 05 02
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 08 27
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 06 22
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 06 17
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 01 12
cali,no hay suficientes escuelas publicas,Educación,2,3,2023 02 10
bogota,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 09 02
santa marta,queremos mas presencia policial,Seguridad,3,3,2024 10 16
bucaramanga,queremos mas presencia policial,Seguridad,3,2,2023 10 14
cartagena,no hay suficientes escuelas publicas,Educación,2,4,2024 08 19
manizales,falta agua potable en varias casas,Salud,1,2,2024 04 07
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 09 04
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 05 27
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 02 20
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 01 17
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 09 21
bogota,queremos mas presencia policial,Seguridad,3,3,2024 10 11
medellin,no hay suficientes escuelas publicas,Educación,2,1,2023 02 07
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 06 10
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 06 02
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 01 26
barranquilla,queremos mas presencia policial,Seguridad,3,3,2024 06 07
cucuta,queremos mas presencia policial,Seguridad,3,4,2023 09 12
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 02 29
bogota,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 04 24
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 10 29
manizales,no hay suficientes escuelas publicas,Educación,2,1,2023 02 25
cali,queremos mas presencia policial,Seguridad,3,1,2024 08 17
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 06 21
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 11 29
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 07 04
bogota,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 01 13
santa marta,queremos mas presencia policial,Seguridad,3,2,2023 04 02
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 04 06
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 09 13
medellin,queremos mas presencia policial,Seguridad,3,4,2024 02 10
medellin,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 04 09
santa marta,faltan medicos en el centro de salud,Salud,1,4,2023 12 05
manizales,faltan medicos en el centro de salud,Salud,1,3,2024 05 20
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 02 10
cartagena,faltan medicos en el centro de salud,Salud,1,2,2024 11 10
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 05 26
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 03 06
santa marta,queremos mas presencia policial,Seguridad,3,3,2023 04 01
pereira,no hay suficientes escuelas publicas,Educación,2,3,2024 10 06
cartagena,falta agua potable en varias casas,Salud,1,2,2023 06 30
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 02 20
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 03 01
medellin,no hay suficientes escuelas publicas,Educación,2,3,2024 05 21
bogota,faltan medicos en el centro de salud,Salud,1,4,2024 10 12
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 10 13
manizales,no hay suficientes escuelas publicas,Educación,2,4,2023 08 01
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 02 11
cali,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 10 11
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 12 05
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 01 07
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 04 22
bogota,faltan medicos en el centro de salud,Salud,1,3,2023 05 08
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 11 22
cartagena,faltan medicos en el centro de salud,Salud,1,4,2023 07 09
cucuta,faltan medicos en el centro de salud,Salud,1,2,2023 09 21
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 06 19
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 01 04
pereira,faltan medicos en el centro de salud,Salud,1,3,2024 01 19
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 10 18
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 10 14
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 09 26
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 07 01
bucaramanga,faltan medicos en el centro de salud,Salud,1,2,2023 03 29
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 03 13
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 04 17
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 10 06
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 03 26
bogota,queremos mas presencia policial,Seguridad,3,3,2024 08 27
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 09 22
bucaramanga,queremos mas presencia policial,Seguridad,3,4,2024 03 13
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 02 29
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 05 02
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 04 14
medellin,queremos mas presencia policial,Seguridad,3,1,2024 03 15
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 02 02
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 06 19
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 04 05
santa marta,no hay suficientes escuelas publicas,Educación,2,2,2023 03 30
barranquilla,no hay suficientes escuelas publicas,Educación,2,3,2024 01 16
cali,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 06 26
cali,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 04 11
manizales,no hay suficientes escuelas publicas,Educación,2,3,2024 06 03
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 09 17
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 04 30
,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 10 03
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 06 23
santa marta,falta agua potable en varias casas,Salud,1,4,2024 03 22
santa marta,falta agua potable en varias casas,Salud,1,3,2023 01 04
santa marta,queremos mas presencia policial,Seguridad,3,2,2024 10 15
barranquilla,faltan medicos en el centro de salud,Salud,1,2,2024 02 06
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 04 28
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 11 27
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 09 12
bogota,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 09 21
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 03 18
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 11 26
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 11 15
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 11 08
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 01 07
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 01 22
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 10 02
bucaramanga,falta agua potable en varias casas,Salud,1,4,2024 11 13
cartagena,faltan medicos en el centro de salud,Salud,1,3,2023 04 20
cucuta,faltan medicos en el centro de salud,Salud,1,3,2024 11 09
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 10 08
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 03 27
medellin,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 10 19
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 08 31
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 08 08
manizales,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 08 19
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 07 15
pereira,queremos mas presencia policial,Seguridad,3,4,2023 01 26
medellin,queremos mas presencia policial,Seguridad,3,3,2023 05 17
barranquilla,queremos mas presencia policial,Seguridad,3,4,2024 10 16
cartagena,queremos mas presencia policial,Seguridad,3,1,2023 09 08
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 12 09
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 09 21
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 03 17
santa marta,falta agua potable en varias casas,Salud,1,3,2023 08 22
medellin,queremos mas presencia policial,Seguridad,3,3,2024 06 23
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 02 29
bogota,faltan medicos en el centro de salud,Salud,1,1,2023 01 30
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 05 25
medellin,falta agua potable en varias casas,Salud,1,4,2024 09 29
bucaramanga,faltan medicos en el centro de salud,Salud,1,4,2023 09 28
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 01 28
pereira,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 06 04
manizales,falta agua potable en varias casas,Salud,1,1,2023 08 26
manizales,queremos mas presencia policial,Seguridad,3,2,2024 04 28
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 01 22
santa marta,faltan medicos en el centro de salud,Salud,1,1,2023 11 02
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 10 09
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 09 01
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 08 08
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 04 24
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 10 29
manizales,faltan medicos en el centro de salud,Salud,1,3,2023 03 10
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 06 02
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 02 26
cali,no hay suficientes escuelas publicas,Educación,2,4,2024 07 02
bogota,queremos mas presencia policial,Seguridad,3,4,2023 04 08
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 01 07
medellin,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 10 19
cucuta,queremos mas presencia policial,Seguridad,3,1,2024 02 16
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 02 12
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 06 29
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 12 22
bogota,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 01 31
manizales,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 03 19
medellin,queremos mas presencia policial,Seguridad,3,3,2023 01 16
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 05 16
pereira,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 09 03
cali,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 08 10
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 03 28
cali,queremos mas presencia policial,Seguridad,3,1,2024 11 18
cartagena,queremos mas presencia policial,Seguridad,3,2,2024 06 22
pereira,faltan medicos en el centro de salud,Salud,1,2,2023 04 20
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 01 04
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 12 17
cartagena,no hay suficientes escuelas publicas,Educación,2,4,2023 06 05
manizales,queremos mas presencia policial,Seguridad,3,2,2023 05 26
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 02 09
santa marta,faltan medicos en el centro de salud,Salud,1,4,2024 04 28
bogota,faltan medicos en el centro de salud,Salud,1,3,2024 05 15
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 09 24
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 06 05
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 03 25
bogota,no hay suficientes escuelas publicas,Educación,2,4,2023 07 09
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 01 26
cucuta,faltan medicos en el centro de salud,Salud,1,4,2023 11 25
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 11 04
medellin,no hay suficientes escuelas publicas,Educación,2,3,2023 08 04
cali,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 04 15
pereira,faltan medicos en el centro de salud,Salud,1,1,2023 10 17
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 01 15
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 08 08
barranquilla,queremos mas presencia policial,Seguridad,3,2,2023 03 26
cucuta,falta agua potable en varias casas,Salud,1,1,2024 02 22
cali,faltan medicos en el centro de salud,Salud,1,2,2024 02 27
pereira,faltan medicos en el centro de salud,Salud,1,4,2023 12 22
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 02 06
pereira,queremos mas presencia policial,Seguridad,3,2,2023 02 14
medellin,faltan medicos en el centro de salud,Salud,1,2,2024 10 21
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 01 06
medellin,queremos mas presencia policial,Seguridad,3,3,2023 05 20
santa marta,no hay suficientes escuelas publicas,Educación,2,1,2024 10 18
,no hay suficientes escuelas publicas,Educación,2,4,2024 02 19
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 06 11
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 03 11
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 02 15
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 05 09
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 01 06
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 12 12
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 06 03
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 08 03
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 03 13
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 03 07
cucuta,faltan medicos en el centro de salud,Salud,1,4,2024 07 29
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 01 29
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 03 06
bogota,queremos mas presencia policial,Seguridad,3,4,2024 07 26
cartagena,falta agua potable en varias casas,Salud,1,3,2023 04 20
medellin,falta agua potable en varias casas,Salud,1,3,2024 06 26
medellin,queremos mas presencia policial,Seguridad,3,3,2024 01 18
cartagena,no hay suficientes escuelas publicas,Educación,2,2,2024 08 22
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 07 24
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 02 16
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 12 21
pereira,no hay suficientes escuelas publicas,Educación,2,3,2024 04 01
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 01 05
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 03 09
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 10 02
pereira,no hay suficientes escuelas publicas,Educación,2,2,2024 01 20
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 07 04
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 07 05
pereira,falta agua potable en varias casas,Salud,1,1,2024 07 10
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 03 05
cali,falta agua potable en varias casas,Salud,1,4,2024 04 04
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 02 14
santa marta,queremos mas presencia policial,Seguridad,3,1,2023 09 29
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2023 08 06
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 07 27
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 06 19
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 01 03
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 08 17
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 07 25
barranquilla,no hay suficientes escuelas publicas,Educación,2,2,2024 05 04
pereira,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 08 02
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 04 13
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 03 30
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 10 26
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 07 17
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 10 12
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 07 31
cartagena,falta agua potable en varias casas,Salud,1,4,2023 06 20
medellin,queremos mas presencia policial,Seguridad,3,1,2023 05 27
medellin,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 07 22
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 10 28
cali,queremos mas presencia policial,Seguridad,3,2,2024 09 27
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 01 09
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,1,2024 01 03
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 09 14
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 06 09
pereira,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 09 30
pereira,faltan medicos en el centro de salud,Salud,1,1,2024 03 07
cali,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 04 03
medellin,no hay suficientes escuelas publicas,Educación,2,1,2024 02 28
manizales,queremos mas presencia policial,Seguridad,3,4,2024 02 02
medellin,no hay suficientes escuelas publicas,Educación,2,1,2024 09 11
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 06 18
bogota,falta agua potable en varias casas,Salud,1,1,2023 06 07
santa marta,no hay suficientes escuelas publicas,Educación,2,2,2024 10 11
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 08 25
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 11 18
bogota,faltan medicos en el centro de salud,Salud,1,1,2023 10 09
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 05 09
pereira,no hay suficientes escuelas publicas,Educación,2,1,2023 03 29
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 12 17
barranquilla,queremos mas presencia policial,Seguridad,3,4,2024 04 12
manizales,queremos mas presencia policial,Seguridad,3,4,2023 11 02
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 04 20
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 05 10
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 03 20
bucaramanga,faltan medicos en el centro de salud,Salud,1,4,2023 09 27
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 06 10
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 03 06
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 05 08
pereira,queremos mas presencia policial,Seguridad,3,2,2023 04 14
bogota,faltan medicos en el centro de salud,Salud,1,4,2023 07 31
,falta agua potable en varias casas,Salud,1,3,2023 01 20
cartagena,faltan medicos en el centro de salud,Salud,1,1,2024 09 11
pereira,falta agua potable en varias casas,Salud,1,4,2023 06 13
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 03 22
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 07 10
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 01 30
pereira,no hay suficientes escuelas publicas,Educación,2,1,2024 01 21
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 06 25
barranquilla,faltan medicos en el centro de salud,Salud,1,4,2024 01 03
barranquilla,falta agua potable en varias casas,Salud,1,3,2023 08 17
bucaramanga,no hay suficientes escuelas publicas,Educación,2,1,2023 05 15
medellin,queremos mas presencia policial,Seguridad,3,3,2023 06 22
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 01 04
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 08 06
barranquilla,faltan medicos en el centro de salud,Salud,1,2,2023 03 12
barranquilla,faltan medicos en el centro de salud,Salud,1,1,2024 09 03
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 08 18
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 05 28
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 10 15
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 01 05
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 01 15
manizales,queremos mas presencia policial,Seguridad,3,3,2023 03 21
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 06 24
cali,faltan medicos en el centro de salud,Salud,1,4,2024 11 07
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 09 05
barranquilla,falta agua potable en varias casas,Salud,1,1,2024 02 03
bucaramanga,no hay suficientes escuelas publicas,Educación,2,4,2023 09 30
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 01 22
barranquilla,falta agua potable en varias casas,Salud,1,3,2024 05 17
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 10 19
barranquilla,queremos mas presencia policial,Seguridad,3,1,2023 09 27
medellin,faltan medicos en el centro de salud,Salud,1,4,2024 11 10
barranquilla,faltan medicos en el centro de salud,Salud,1,4,2024 03 06
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 04 28
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 07 16
barranquilla,faltan medicos en el centro de salud,Salud,1,2,2024 05 22
barranquilla,no hay suficientes escuelas publicas,Educación,2,3,2023 10 17
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 05 25
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 11 22
santa marta,no hay suficientes escuelas publicas,Educación,2,4,2023 02 03
barranquilla,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 03 06
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 01 31
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 09 26
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 03 06
medellin,falta agua potable en varias casas,Salud,1,3,2023 04 03
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 07 17
cartagena,no hay suficientes escuelas publicas,Educación,2,4,2023 02 17
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 02 03
cali,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 04 27
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 06 13
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 08 05
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 12 10
cartagena,falta agua potable en varias casas,Salud,1,1,2023 05 31
santa marta,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2023 02 13
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 04 14
barranquilla,faltan medicos en el centro de salud,Salud,1,2,2024 11 03
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 02 27
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 01 07
santa marta,faltan medicos en el centro de salud,Salud,1,4,2024 03 15
bogota,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 07 22
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 11 15
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 06 13
cali,no hay suficientes escuelas publicas,Educación,2,3,2024 06 29
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 12 21
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,2,2023 05 20
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 11 14
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 08 15
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 02 26
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 01 27
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 12 18
bogota,queremos mas presencia policial,Seguridad,3,4,2024 09 02
